종목코드,종목명,현재가,전일대비변동액,등락률,NAV,3개월수익률,거래량,거래대금(백만),시가총액(억),NAV괴리율(%),운용사
401470,KODEX 메타버스액티브,9200,95,1.04,9206.0,-1.7932,3929,36,557,-0.07,삼성자산운용 (KODEX)
385590,ACE ESG액티브,23970,570,2.44,23744.0,14.6093,184,4,551,0.95,한국투자신탁운용 (ACE)
0046Y0,ACE 미국배당퀄리티,13090,80,0.61,13094.0,2.0304,9719,127,550,-0.03,한국투자신탁운용 (ACE)
0141S0,SOL 조선기자재,8615,495,6.1,8632.0,-39.1364,443250,3844,547,-0.2,신한자산운용 (SOL)
0118S0,SOL 미국넥스트테크TOP10액티브,11365,450,4.12,11383.0,-9.2672,13799,158,534,-0.16,신한자산운용 (SOL)
150460,TIGER 중국소비테마,6950,-45,-0.64,6946.0,-10.8783,14921,104,534,0.06,미래에셋자산운용 (TIGER)
256750,KODEX 차이나심천ChiNext(합성),17385,-140,-0.8,17424.0,-0.3129,18859,332,532,-0.22,삼성자산운용 (KODEX)
0113P0,HK 머니마켓액티브,102030,0,0.0,102043.0,0.6908,0,0,529,-0.01,기타
445150,KODEX 친환경조선해운액티브,27800,915,3.4,27804.0,-29.331,5149,143,528,-0.01,삼성자산운용 (KODEX)
0210E0,PLUS 200커버드콜액티브,7750,90,1.17,7754.0,,242200,1937,519,-0.05,한화자산운용 (PLUS)
282000,RISE 국고채3년선물인버스,114860,155,0.14,114865.0,1.3966,2,0,517,-0.0,KB자산운용 (RISE)
275300,KODEX 우량주,30280,260,0.87,30410.0,17.7242,18235,574,515,-0.43,삼성자산운용 (KODEX)
0139P0,ACE 고배당주,13500,170,1.28,13514.0,-5.8109,25281,344,513,-0.1,한국투자신탁운용 (ACE)
200030,KODEX 미국S&P500산업재(합성),45430,-110,-0.24,45718.0,2.9617,1877,85,512,-0.63,삼성자산운용 (KODEX)
0132H0,KODEX 미국원자력SMR,8855,430,5.1,8765.0,-27.4335,28151,249,505,1.03,삼성자산운용 (KODEX)
475260,ACE 2월만기자동연장회사채AA-이상액티브,10705,5,0.05,10701.0,0.4694,2905,31,504,0.04,한국투자신탁운용 (ACE)
152500,ACE 레버리지,49600,1420,2.95,49813.0,9.2021,41996,2209,496,-0.43,한국투자신탁운용 (ACE)
218420,KODEX 미국S&P500에너지(합성),20260,400,2.01,20228.0,5.4419,19061,384,495,0.16,삼성자산운용 (KODEX)
101280,KODEX 일본TOPIX100,31300,480,1.56,31288.0,4.5469,10555,330,495,0.04,삼성자산운용 (KODEX)
